Plant ID,NERC Region,Quantity,Elec_Quantity,MMBtuPer_Unit,Tot_MMBtu,Elec_MMBtu,Netgen,Nameplate Capacity (MW),Operating Time,Gross Load (MW-h),Steam Load (1000lb),SO2 (tons),Avg. NOx Rate (lb/MMBtu),NOx (tons),CO2 (short tons),Heat Input (MMBtu),EPA Region
887,SERC,286644.0,286644.0,18.04,1346471.0,1346471.0,106677.0,1099.8,1741.42,123666.21,,256.976,0.696,68.605,128833.964,1304974.91,5.0
889,SERC,408899.0,408899.0,23.257,7105582.0,7105582.0,677319.003,1894.1,1634.48,739112.44,,283.272,0.2529,283.446,752207.844,7172080.22,5.0
891,SERC,103617.0,103617.0,23.41,1810937.0,1810937.0,141981.002,488.0,629.98,163197.75,,70.371,0.0777,71.812,194033.16,1850048.347,5.0
892,SERC,54695.0,54695.0,18.74,844639.0,844639.0,68948.0,306.3,1048.8,76765.89,,196.237,0.3166,60.314,81404.0,776167.949,5.0
898,,,,,,,,,1407.19,210131.09,,570.059,0.3148,153.507,210118.31,2003706.936,5.0
913,SERC,0.0,0.0,0.0,0.0,0.0,0.0,586.0,0.0,,,,,,,,5.0
963,SERC,119333.0,119333.0,22.219,2137776.0,2137776.0,188024.997,617.8,1671.48,218147.04,,97.964,0.358,66.785,221395.605,2158889.954,5.0
976,SERC,72182.0,72182.0,33.396,1505758.0,1505758.0,125420.0,422.0,1199.93,136118.47,,356.347,1.4118,71.526,173015.097,1635169.264,5.0
983,RFC,191486.0,191486.0,28.387,4328205.0,4328205.0,388536.003,1303.8,3488.55,431685.94,,352.537,2.5944,862.028,451768.215,4307470.212,5.0
990,RFC,1138395.0,1138395.0,13.688,1188401.0,1188401.0,105784.0,1044.7,1362.12,115268.7,,0.365,0.4921,32.965,72481.867,1219684.98,5.0
991,,,,,,,,,0.0,,,,,,,,5.0
994,RFC,359361.0,359361.0,34.7,8220742.0,8220742.0,752295.003,2154.8,2548.39,843873.92,,938.487,0.8468,920.358,894153.946,8714960.795,5.0
995,RFC,75933.0,75933.0,23.739,1095761.0,1095761.0,93091.0,641.0,700.84,119275.97,,54.78,0.2661,82.516,138702.884,1351881.339,5.0
997,RFC,66454.0,66454.0,44.921,1101218.0,1101218.0,98243.0,540.0,322.22,109648.0,,46.541,0.0988,53.254,115850.514,1104598.678,5.0
1001,RFC,177606.0,177606.0,34.822,3947306.0,3947306.0,391377.002,1184.9,995.43,422771.0,,120.42,0.6721,753.09,433905.023,4229092.665,5.0
1002,RFC,0.0,0.0,0.0,0.0,0.0,-20.0,83.6,0.0,,,,,,,,5.0
1004,RFC,1888295.0,1888295.0,23.281,1677267.0,1677267.0,152651.0,804.5,878.09,155723.42,,0.67,0.1951,78.996,106940.92,1684327.45,5.0
1005,RFC,0.0,0.0,0.0,213386.0,213386.0,22898.0,64.8,,,,,,,,,
1006,RFC,0.0,0.0,0.0,0.0,0.0,-6.0,86.6,,,,,,,,,
1007,RFC,690238.0,690238.0,1.028,709565.0,709565.0,81397.0,283.0,987.3,57750.34,,0.183,0.0595,4.38,36244.39,609869.469,5.0
1008,RFC,3346.0,3346.0,29.508,58767.0,58767.0,3242.0,300.0,93.78,5475.38,,20.744,0.4576,8.818,5777.308,56314.029,5.0
1010,RFC,0.0,0.0,0.0,0.0,0.0,-1873.0,395.1,25.25,1516.05,,0.007,0.1606,1.501,1295.211,21793.418,5.0
1011,,,,,,,,,14.0,301.71,,0.002,0.1593,0.563,,5427.96,5.0
1012,RFC,74541.0,74541.0,23.461,925367.0,925367.0,83176.0,368.9,598.28,91731.07,,117.41,0.2334,47.855,107174.697,1046114.887,5.0
1016,SERC,0.0,0.0,0.0,0.0,0.0,-496.0,303.4,0.0,,,,,,,,4.0
1040,,,,,,,,,57.62,1171.42,,26.391,0.6273,2.711,1421.958,13862.695,5.0
1046,,,,,,,,,0.0,,,,,,,,7.0
1047,MRO,6234.0,6234.0,23.304,89412.0,89412.0,4097.0,274.5,90.62,7465.88,,3.637,0.0838,4.546,9388.664,91000.514,7.0
1048,MRO,28335.0,28335.0,1.063,30120.0,30120.0,1032.0,218.5,45.56,2702.0,,0.008,0.0898,1.721,1992.647,33560.796,7.0
1060,MRO,0.0,0.0,0.0,4623419.0,4623419.0,442094.0,679.5,,,,,,,,,
1068,MRO,0.0,0.0,0.0,0.0,0.0,-41.0,189.0,0.0,,,,,,,,7.0
1073,MRO,36892.0,36892.0,18.501,449119.0,449119.0,35375.0,213.4,722.02,,327473.64,109.171,0.525,64.914,61288.71,586798.301,7.0
1077,MRO,0.0,0.0,0.0,0.0,0.0,-779.0,119.1,0.0,,,,,,,,7.0
1081,,,,,,,,,0.0,,,,,,,,7.0
1082,MRO,225805.0,225805.0,24.26,3712565.0,3712565.0,352010.005,1648.3,702.5,375968.0,,606.434,0.2515,311.505,366121.325,3490864.525,7.0
1091,MRO,90919.0,90919.0,18.479,1309239.0,1309239.0,118946.0,584.1,424.5,130971.5,,153.534,0.1749,116.475,131097.35,1249972.0,7.0
1104,MRO,46998.0,46998.0,20.03,759906.0,759906.0,70763.0,290.8,534.83,76971.91,,203.607,0.1386,55.08,81910.209,782691.345,7.0
1105,MRO,0.0,0.0,0.0,0.0,0.0,-33.0,60.0,0.0,,,,,,,,7.0
1122,,,,,,,,,690.75,24567.75,,1.193,0.1275,21.017,18454.35,311319.55,7.0
