Plant ID,NERC Region,Quantity,Elec_Quantity,MMBtuPer_Unit,Tot_MMBtu,Elec_MMBtu,Netgen,Nameplate Capacity (MW),Operating Time,Gross Load (MW-h),Steam Load (1000lb),SO2 (tons),Avg. NOx Rate (lb/MMBtu),NOx (tons),CO2 (short tons),Heat Input (MMBtu),EPA Region
382,WECC,0.0,0.0,0.0,781128.0,781128.0,83821.0,115.5,,,,,,,,,
384,RFC,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,3.5,3.5,,0.016,0.0,0.0,0.0,3.5,5.0
389,WECC,277291.0,277291.0,2.064,286012.0,286012.0,25309.0,358.3,897.62,27823.04,,0.082,0.1555,6.535,16265.269,273687.384,9.0
392,WECC,5765.0,5765.0,0.0,0.0,0.0,58207.0,1682.0,,,,,,,,,
399,WECC,23099.0,23099.0,2.062,23815.0,23815.0,559.0,548.1,45.77,2207.09,,0.007,0.101,0.27,1372.949,23489.584,9.0
400,WECC,1493047.0,1493047.0,3.096,1540825.0,1540825.0,186588.0,1739.1,1329.74,191558.37,,0.461,0.1038,5.409,90107.388,1539926.559,9.0
404,WECC,466782.0,466782.0,1.668,435203.0,435203.0,36822.0,326.4,1323.57,118605.48,,0.761,0.0282,2.76,73556.227,1217994.212,9.0
408,WECC,1010615.0,1010615.0,2.07,1045987.0,1045987.0,141662.0,690.5,669.12,146224.91,,0.31,0.0442,4.492,60357.864,1031429.006,9.0
409,WECC,0.0,0.0,0.0,219863.0,219863.0,23593.0,94.5,,,,,,,,,
420,,,,,,,,,0.0,,,,,,,,9.0
422,,,,,,,,,114.17,2312.89,,0.008,0.0818,0.391,1620.905,27283.89,9.0
425,WECC,0.0,0.0,0.0,404640.0,404640.0,43421.0,116.1,,,,,,,,,
430,WECC,0.0,0.0,0.0,508258.0,508258.0,54540.0,157.8,,,,,,,,,
431,WECC,0.0,0.0,0.0,745949.0,745949.0,80046.0,161.6,,,,,,,,,
432,WECC,0.0,0.0,0.0,169336.0,169336.0,18171.0,74.1,,,,,,,,,
435,WECC,0.0,0.0,0.0,927753.0,927753.0,99555.0,266.0,,,,,,,,,
436,WECC,0.0,0.0,0.0,798909.0,798909.0,85729.0,276.2,,,,,,,,,
437,WECC,0.0,0.0,0.0,1800095.0,1800095.0,193164.0,644.1,,,,,,,,,
439,WECC,0.0,0.0,0.0,262330.0,262330.0,28150.0,170.8,,,,,,,,,
441,WECC,0.0,0.0,0.0,754149.0,754149.0,80926.0,198.6,,,,,,,,,
442,WECC,0.0,0.0,0.0,3672.0,3672.0,394.0,154.4,,,,,,,,,
443,WECC,0.0,0.0,0.0,250141.0,250141.0,26842.0,117.0,,,,,,,,,
445,WECC,0.0,0.0,0.0,1484778.0,1484778.0,159328.0,714.0,,,,,,,,,
446,WECC,584.0,584.0,0.0,0.0,0.0,992.0,25.2,,,,,,,,,
447,WECC,0.0,0.0,0.0,418349.0,418349.0,44892.0,120.0,,,,,,,,,
448,WECC,0.0,0.0,0.0,0.0,0.0,49860.0,424.0,,,,,,,,,
450,WECC,0.0,0.0,0.0,11500.0,11500.0,1234.0,180.0,,,,,,,,,
451,WECC,0.0,0.0,0.0,591356.0,591356.0,63457.0,140.0,,,,,,,,,
454,WECC,0.0,0.0,0.0,1072924.0,1072924.0,115133.0,315.0,,,,,,,,,
467,WECC,38608.0,38608.0,0.0,0.0,0.0,-14104.0,300.0,,,,,,,,,
469,WECC,1581972.0,1581972.0,23.396,3575510.0,3575510.0,408834.0,1006.4,1937.18,435542.2,,175.271,0.3301,320.023,309376.227,3717619.231,8.0
470,WECC,442762.0,442762.0,18.444,6066651.0,6066651.0,566576.0,1635.3,1520.19,613164.86,,243.187,0.3043,249.302,595267.614,5717183.794,8.0
477,WECC,43741.0,43741.0,23.291,923965.0,923965.0,97793.0,251.0,744.0,104024.0,,88.231,0.339,176.627,109033.4,1062712.6,8.0
492,WECC,68236.0,68236.0,18.398,1042149.0,1042149.0,90870.0,257.0,1336.16,100644.34,,109.539,0.4428,127.93,115212.317,1101174.571,8.0
505,WECC,0.0,0.0,0.0,93991.0,93991.0,10086.0,15.0,,,,,,,,,
508,,,,,,,,,0.0,,,,,,,,8.0
510,WECC,0.0,0.0,0.0,236786.0,236786.0,25409.0,78.0,,,,,,,,,
513,WECC,0.0,0.0,0.0,66249.0,66249.0,7109.0,45.0,,,,,,,,,
515,WECC,0.0,0.0,0.0,0.0,0.0,-15.0,4.5,,,,,,,,,
516,WECC,0.0,0.0,0.0,47396.0,47396.0,5086.0,26.0,,,,,,,,,
517,WECC,0.0,0.0,0.0,22832.0,22832.0,2450.0,8.1,,,,,,,,,
518,WECC,2357.0,2357.0,0.0,188356.0,188356.0,17855.0,94.5,,,,,,,,,
519,WECC,0.0,0.0,0.0,144267.0,144267.0,15481.0,38.2,,,,,,,,,
525,WECC,56357.0,56357.0,29.59,1126716.0,1126716.0,88391.0,465.4,772.09,104255.97,,69.807,0.3234,65.807,118833.557,1158211.656,8.0
527,WECC,77.0,77.0,3.85,296.0,296.0,0.0,113.8,0.0,,,,,,,,8.0
533,SERC,1725683.0,1725683.0,1.021,1761922.0,1761922.0,226047.0,654.0,1229.77,156694.96,,0.518,0.0843,19.278,102920.595,1731841.385,4.0
539,NPCC,1.0,1.0,0.0,0.0,0.0,224.0,31.0,,,,,,,,,
540,,,,,,,,,0.0,,,,,,,,1.0
542,,,,,,,,,1.37,26.03,,,1.2,0.206,,342.5,1.0
544,NPCC,216.0,216.0,5.8,1253.0,1253.0,110.0,222.6,16.38,656.37,,0.001,1.6229,0.17,491.429,6174.984,1.0
546,NPCC,13.0,13.0,5.79,75.0,75.0,6.0,495.3,1.95,0.0,,0.014,0.06,0.006,11.29,139.885,1.0
547,NPCC,98663.0,98663.0,0.0,0.0,0.0,-22240.0,940.0,,,,,,,,,
550,WECC,10494.0,10494.0,10.176,72536.0,72536.0,4520.0,57.9,,,,,,,,,
557,,,,,,,,,0.0,,,,,,,,1.0
561,,,,,,,,,0.0,,,,,,,,1.0
562,NPCC,340942.0,340942.0,12.383,352141.0,352141.0,32701.0,786.4,525.17,35129.43,,1.111,1.4633,20.649,23286.304,393345.616,1.0
563,,,,,,,,,0.9,0.9,,,2.973,0.028,6.1,75.0,1.0
564,FRCC,1710085.0,1710085.0,27.656,3628934.0,3628934.0,401803.996,1262.0,1473.07,426967.14,,78.246,0.1069,138.392,318501.339,3723453.334,4.0
565,,,,,,,,,1.8,24.75,,,1.2,0.27,,450.0,1.0
566,NPCC,0.0,0.0,0.0,10901398.0,10901398.0,1042398.0,2162.9,,,,,,,,,
